VIN,Selling Dealership,Vehicle,Floor Price,Orig. Closing Price
1FA6P8CF1K5161019,Carmel Motors,2019 Ford Mustang GT Premium,"$32,000",$0
1C3CDFBB0GD518071,Carmel Motors,2016 Dodge Dart SXT,"$3,000","$1,700"
1GTEC19X79Z252243,Carmel Motors,2009 GMC Sierra 1500 Work Truck,"$3,600",$0
1GNERKKW5JJ105872,Bentley Indianapolis,2018 Chevrolet Traverse,"$19,490","$18,900"
JN8AZ2NE0F9083027,Bentley Indianapolis,2015 INFINITI QX80,"$13,990",$0
1FTFW1E86MKD49039,Hunter Ford,2021 Ford F-150 XLT,"$34,000",$0
1N4AA6AP2HC410265,Bentley Indianapolis,2017 Nissan Maxima,"$8,990","$7,300"
1FT7W2BTXGEC08660,Hunter Ford,2016 Ford F250SD Lariat,"$35,000",$0
1C4HJXAG3PW699684,Dellen CJDR,2023 Jeep Wrangler Sport,"$30,500",$0
1FM5K8D80FGB06099,Community Ford of Mooresville,2015 Ford Explorer XLT,"$5,000","$3,250"
3D6WU6CL0BG612408,Mike Anderson CDJR,2011 Ram 4500 SLT,$1,"$4,600"
1C4HJXEN1LW343852,Dellen CJDR,2020 Jeep Wrangler Unlimited High Altitude,"$37,000","$33,300"
WVGFF9BP7BD003833,Bob Poynter CDJR Fiat of Seymour,2011 Volkswagen Touareg VR6 Sport,"$3,000","$2,050"
WDDYK8AA8LA025865,Audi Indianapolis,2020 Mercedes-Benz AMG GT C,$0,"$95,050"
JA4APUAU3MU033169,Mike Anderson CDJR,2021 Mitsubishi Outlander Sport ES,$1,"$5,600"
JTEBU5JR4J5505353,Mercedes-Benz of Indianapolis,2018 Toyota 4Runner Limited,"$29,000",$0
1FTEW1EP3KKF11547,B & B Auto Brokers Inc.,2019 Ford F-150 XLT,"$25,000",$0
1C3BC1FB5BN527699,CNAC Kokomo,2011 Chrysler 200 Touring,"$6,000",$0
1C4NJRBB4DD168020,CNAC Kokomo,2013 Jeep Patriot Sport,"$6,000",$0
JTJAM7BX2L5254468,B & B Cars Inc.,2020 Lexus GX 460 Base,"$36,800","$35,450"
1C3CCBCG0DN700073,CNAC Kokomo,2013 Chrysler 200 S,"$5,000",$0
1D4GP24R46B510558,Hobson Ford Lincoln Inc,2006 Dodge Grand Caravan SE,$750,$400
1C4BJWDGXGL132658,Hobson Ford Lincoln Inc,2016 Jeep Wrangler Unlimited Sport,"$16,000",$0
JN8AT3CB6MW204819,DeFOUW Nissan of Lafayette,2021 Nissan Rogue SL,"$26,500","$24,250"
5TDJZRFH6KS626227,Andy Mohr Toyota,2019 Toyota Highlander XLE,"$25,500",$0
5FNYF6H97GB085048,Andy Mohr Toyota,2016 Honda Pilot Touring,"$13,000",$0
1FTPX14567FB56296,"Purcell Auto Sales, LLC",2007 Ford F-150 XLT,"$3,500",$0
1C4HJXEN4MW771576,Andy Mohr Toyota,2021 Jeep Wrangler Unlimited Sahara,"$28,500",$0
5TDBT44A74S206526,Andy Mohr Kia,2004 Toyota Sequoia SR5,"$2,800",$0
1GNER23D59S178792,"Purcell Auto Sales, LLC",2009 Chevrolet Traverse LT,"$2,000","$1,000"
JHLRD18761C056756,Andy Mohr Kia,2001 Honda CR-V SE,"$3,000","$1,700"
4M2CU97197KJ20716,Andy Mohr Kia,2007 Mercury Mariner Premier,"$1,000",$300
WP0CA29833U621079,Bentley Indianapolis,2003 Porsche Boxster Base,"$14,990",$0
3GYFNFEY6AS652221,Andy Mohr Kia,2010 Cadillac SRX Premium Collection,"$4,500",$0
KNDJP3A53G7262690,Andy Mohr Kia,2016 Kia Soul +,"$6,000",$0
1C4HJXDG9MW699325,Andy Mohr Kia,2021 Jeep Wrangler Unlimited Willys Sport,"$32,000",$0
JN8AS5MT1DW520537,Tom Wood Nissan,2013 Nissan Rogue SV,"$1,400",$550
1FTEX1E6XAFD03094,"Purcell Auto Sales, LLC",2010 Ford F-150 SVT Raptor,"$19,500",$0
KL8CD6S98EC413394,"Purcell Auto Sales, LLC",2014 Chevrolet Spark 1LT CVT,"$1,200",$600
1N4AA5AP2CC864342,Andy Mohr Kia,2012 Nissan Maxima SV,"$2,500","$1,250"
2C4RC1CG8FR656717,Andy Mohr Kia,2015 Chrysler Town & Country Touring L,"$4,000",$0
1FAHP3M26CL339625,Andy Mohr Kia,2012 Ford Focus SEL,$900,$200
JN8AS5MV9CW404633,Ed Martin Toyota,2012 Nissan Rogue SL,"$1,500",$0
